1st Term GPA,2nd Term GPA,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Prev Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
4.113636,3.977273,Other,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,31 to 35,89.0,46.0,Level-161,1.0
,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,64.0,21.0,Level-170,0.0
3.4,3.090909,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-160,1.0
2.657895,1.888889,English,Intl Regular,6.0,No,No,International,Male,0,21 to 25,,14.0,Level-161,1.0
3.826923,4.347826,English,Intl Regular,6.0,Yes,Yes,International,Male,PostSecondary,26 to 30,,,Level-170,1.0
1.086957,1.45,Other,Intl Regular,6.0,No,No,International,Female,HighSchool,0 to 18,,,Level-160,0.0
3.28,2.795455,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,84.0,28.0,Level-170,1.0
0.0,,English,GPOG_FT,6.0,No,No,Domestic,Male,0,19 to 20,,16.0,Level-170,0.0
3.75,3.02381,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,46.0,Level-170,1.0
0.0,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,92.0,,,0.0
2.318182,0.0,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,19 to 20,63.0,17.0,Level-170,1.0
4.057692,3.73913,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-170,1.0
1.973684,1.204545,,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,,Level-160,1.0
,,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,74.0,33.0,Level-141,0.0
2.571429,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,0,21 to 25,,19.0,Level-160,0.0
3.391304,2.547619,Other,Intl Regular,6.0,Yes,Yes,International,Male,PostSecondary,21 to 25,,,Level-170,1.0
4.2,4.142857,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,83.0,25.0,Level-140,1.0
2.73913,2.64,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-171,1.0
3.694444,3.166667,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,21 to 25,,,Level-161,1.0
2.804348,3.0,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,0 to 18,,42.0,Level-161,1.0
3.0,3.153846,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
1.0,1.538462,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,41 to 50,65.0,19.0,Level-160,0.0
1.071429,0.0,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,,31.0,Level-170,1.0
3.565217,4.0,English,GPOG_FT,6.0,Yes,Yes,Domestic,Female,PostSecondary,21 to 25,86.0,,Level-170,1.0
4.309524,4.190476,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,26 to 30,81.0,39.0,Level-170,1.0
2.033333,2.071429,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-170,1.0
3.047619,3.195652,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,19 to 20,79.0,34.0,Level-170,1.0
3.409091,2.37037,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,21 to 25,,,Level-161,1.0
4.18,4.152174,Other,GPOG_FT,6.0,Yes,Yes,Domestic,Male,PostSecondary,26 to 30,,,Level-171,0.0
3.954545,3.045455,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,83.0,35.0,Level-161,1.0
4.38,4.272727,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,26 to 30,73.0,31.0,Level-170,1.0
3.0,3.45,,Intl Regular,6.0,No,No,International,Male,HighSchool,21 to 25,,,Level-171,1.0
3.4,3.4,Other,GPOG_FT,6.0,No,Yes,Domestic,Female,PostSecondary,21 to 25,91.0,33.0,Level-171,0.0
3.217391,3.25,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,26 to 30,,,Level-161,1.0
3.145833,1.619048,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,26 to 30,,38.0,Level-161,1.0
2.98,2.6,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,73.0,28.0,Level-170,1.0
3.131579,1.25,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,73.0,20.0,Level-170,1.0
3.909091,3.159091,Other,Intl Regular,6.0,No,Yes,International,Male,HighSchool,26 to 30,,49.0,Level-161,1.0
4.090909,3.840909,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,0 to 18,,45.0,Level-161,1.0
4.176471,4.214286,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,26 to 30,79.0,,Level-161,1.0
3.026316,2.291667,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,72.0,25.0,Level-160,1.0
3.619048,4.041667,Other,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,,,Level-161,1.0
0.26087,2.318182,Other,Intl Regular,6.0,Yes,Yes,International,Male,HighSchool,21 to 25,,43.0,Level-161,1.0
3.54,2.142857,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,75.0,31.0,Level-170,1.0
3.611111,3.851852,English,Second Career Program,6.0,Yes,No,Domestic,Male,PostSecondary,41 to 50,,,Level-171,1.0
0.0,,,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,0.0
3.56,3.7,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,91.0,46.0,Level-170,1.0
,,French,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,0 to 18,80.0,23.0,Level-161,0.0
3.475,3.045455,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-161,1.0
3.145833,2.5,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,86.0,28.0,Level-170,1.0
3.705882,3.673913,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-161,1.0
3.840909,4.26087,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,92.0,,,1.0
0.714286,0.0,Other,Intl Regular,6.0,Yes,Yes,International,Male,HighSchool,21 to 25,,,Level-161,0.0
3.825,3.225,,Intl Regular,6.0,No,No,International,Male,PostSecondary,21 to 25,,,,1.0
3.5,4.02,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-171,1.0
4.130435,4.02381,,Intl Regular,6.0,No,No,International,Female,HighSchool,21 to 25,,42.0,Level-161,1.0
2.921053,2.0,Other,Intl Regular,6.0,Yes,Yes,International,Male,HighSchool,21 to 25,,,Level-161,1.0
3.5,3.911765,,Intl Regular,6.0,No,Yes,International,Male,HighSchool,31 to 35,,35.0,Level-170,1.0
1.94,2.5,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,69.0,36.0,Level-160,1.0
3.5,2.934783,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,91.0,28.0,Level-170,1.0
2.8,,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,76.0,23.0,Level-170,0.0
2.97619,3.363636,English,Second Career Program,6.0,No,No,Domestic,Male,0,36 to 40,,30.0,Level-170,1.0
4.086957,3.590909,Other,Intl Regular,6.0,No,No,International,Female,HighSchool,21 to 25,,,Level-140,1.0
4.285714,3.886364,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,44.0,Level-171,1.0
2.852941,2.880952,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,0 to 18,83.0,25.0,Level-160,1.0
2.404762,2.041667,English,GPOG_FT,6.0,No,No,Domestic,Male,0,0 to 18,64.0,,Level-170,1.0
3.055556,3.480769,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-160,1.0
2.7,1.815789,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,78.0,32.0,Level-170,1.0
3.666667,3.58,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,26 to 30,,,Level-170,1.0
2.847826,3.428571,Other,Intl Regular,6.0,No,No,International,Female,HighSchool,19 to 20,,32.0,Level-161,1.0
2.921053,3.846154,English,GPOG_FT,6.0,No,Yes,Domestic,Female,PostSecondary,21 to 25,93.0,43.0,Level-170,1.0
2.880952,2.666667,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,21 to 25,,37.0,Level-141,1.0
0.230769,,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,39.0,Level-131,0.0
1.954545,3.125,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,76.0,33.0,Level-141,1.0
2.795455,2.543478,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,78.0,,,1.0
2.2,1.47619,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,82.0,23.0,Level-160,1.0
0.0,,Other,Intl Regular,6.0,No,No,International,Male,0,0 to 18,,48.0,Level-161,0.0
2.388889,2.7,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,67.0,34.0,Level-170,0.0
3.56,3.175,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,74.0,34.0,Level-170,1.0
3.458333,3.38,,Intl Regular,6.0,No,Yes,International,Female,HighSchool,19 to 20,,,,1.0
0.45,,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,56.0,23.0,Level-160,0.0
2.1,,English,GPOG_FT,6.0,No,No,Domestic,Male,0,0 to 18,66.0,25.0,Level-170,0.0
0.375,0.0,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,0 to 18,,37.0,Level-161,0.0
1.979167,1.605263,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,75.0,27.0,Level-170,1.0
4.086957,3.673077,English,Apprentice_PS,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,77.0,31.0,Level-170,1.0
4.23913,,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,105.0,45.0,Level-170,0.0
2.23913,3.095238,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,82.0,38.0,Level-161,1.0
3.652174,3.625,Other,Intl Regular,6.0,No,Yes,International,Female,PostSecondary,0 to 18,,47.0,Level-170,1.0
3.68,3.68,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,21 to 25,,,Level-161,1.0
4.043478,,Other,Intl Regular,6.0,No,No,International,Female,HighSchool,19 to 20,,46.0,Level-170,0.0
3.086957,2.875,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,76.0,31.0,Level-170,1.0
3.681818,2.021739,,Intl Regular,6.0,No,Yes,International,Male,HighSchool,31 to 35,,22.0,Level-171,1.0
3.022727,,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,76.0,16.0,Level-170,0.0
3.44,3.23913,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,78.0,24.0,Level-160,1.0
0.0,,,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,38.0,Level-141,0.0
2.545455,2.842105,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,19 to 20,67.0,24.0,Level-160,1.0
1.34,0.3,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,68.0,20.0,Level-140,1.0
2.730769,3.882353,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,21 to 25,75.0,29.0,Level-160,1.0
0.46,2.84375,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,17.0,Level-160,1.0
2.275,1.233333,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,21 to 25,73.0,24.0,Level-160,1.0
4.282609,4.238095,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,41 to 50,,48.0,Level-161,1.0
3.916667,3.979167,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,26 to 30,86.0,50.0,Level-161,1.0
3.464286,3.470588,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,38.0,Level-161,1.0
4.275,4.363636,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,26 to 30,88.0,47.0,Level-170,1.0
3.82,3.6,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,69.0,30.0,Level-170,0.0
2.26,2.076923,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,21 to 25,,,Level-161,1.0
4.225,3.911765,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,41 to 50,,35.0,Level-161,1.0
1.727273,1.9,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,21 to 25,67.0,37.0,Level-170,1.0
3.272727,2.608696,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,0 to 18,89.0,,,1.0
3.979167,3.333333,,Intl Regular,6.0,No,Yes,International,Male,HighSchool,26 to 30,,48.0,,1.0
4.214286,4.047619,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,31 to 35,,49.0,Level-171,1.0
4.0,3.5,Other,Intl Regular,6.0,Yes,Yes,International,Male,HighSchool,21 to 25,,,Level-161,1.0
0.695652,,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,0 to 18,69.0,18.0,Level-141,0.0
2.0,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,73.0,33.0,Level-170,0.0
2.547619,2.891304,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,78.0,27.0,Level-170,0.0
2.733333,3.02381,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,67.0,41.0,Level-170,1.0
3.9,3.928571,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,21 to 25,,,Level-171,1.0
3.152174,2.865385,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
3.043478,2.730769,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-161,1.0
2.416667,2.708333,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,26 to 30,,,Level-161,1.0
2.842105,0.736842,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,88.0,23.0,Level-170,1.0
3.9,3.727273,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
0.0,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,72.0,15.0,Level-140,0.0
1.730769,1.866667,,Intl Regular,6.0,No,Yes,International,Male,HighSchool,21 to 25,,35.0,Level-171,1.0
2.891304,2.730769,English,Apprentice_PS,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,82.0,20.0,Level-160,1.0
3.277778,2.5,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,81.0,,,1.0
3.4,,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,70.0,33.0,Level-170,0.0
3.586957,3.307692,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,26 to 30,,,Level-161,0.0
2.456522,2.380952,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,0 to 18,,37.0,Level-170,1.0
2.25,2.2,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,19 to 20,83.0,,Level-160,1.0
0.0,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,50.0,16.0,Level-170,0.0
2.456522,2.269231,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-161,1.0
3.543478,3.038462,English,Apprentice_PS,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,76.0,28.0,Level-160,1.0
4.152174,3.73913,English,GPOG_FT,6.0,No,Yes,Domestic,Female,PostSecondary,26 to 30,83.0,25.0,Level-170,1.0
4.386364,4.363636,Other,Second Career Program,6.0,No,No,Domestic,Male,0,41 to 50,,49.0,Level-171,1.0
3.738095,3.125,Other,Intl Regular,6.0,Yes,Yes,International,Male,HighSchool,21 to 25,,,Level-161,1.0
4.285714,4.413043,Other,Intl Regular,6.0,No,Yes,International,Male,HighSchool,21 to 25,,47.0,Level-171,1.0
3.729167,3.653846,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-171,1.0
4.022727,4.0,Other,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,21 to 25,97.0,45.0,Level-170,1.0
2.825,3.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,77.0,28.0,Level-170,1.0
4.25,4.175,,Intl Regular,6.0,No,No,International,Male,0,26 to 30,,,Level-171,1.0
3.875,3.979167,,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,48.0,Level-161,1.0
3.571429,2.717391,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,84.0,27.0,Level-170,1.0
0.0,1.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,69.0,34.0,Level-170,0.0
4.23913,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,83.0,45.0,Level-171,0.0
2.227273,2.62963,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,19 to 20,,33.0,Level-170,1.0
3.479167,3.473684,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,78.0,16.0,Level-170,1.0
4.4375,4.384615,English,Second Career Program,6.0,Yes,Yes,Domestic,Male,PostSecondary,41 to 50,,48.0,Level-170,1.0
3.64,3.047619,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,26 to 30,61.0,,Level-170,1.0
2.7,3.204545,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,21 to 25,,,Level-161,1.0
3.3125,3.888889,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,57.0,,Level-160,1.0
1.6,2.0,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,21 to 25,,25.0,Level-161,1.0
0.357143,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,0,21 to 25,,26.0,Level-141,1.0
3.695652,3.596154,Other,GPOG_FT,6.0,Yes,No,Domestic,Female,PostSecondary,26 to 30,,,Level-161,1.0
3.717391,3.152174,Other,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,86.0,44.0,Level-170,1.0
2.5,2.26,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,0 to 18,,,Level-160,1.0
4.041667,4.041667,,Intl Regular,6.0,No,No,International,Male,HighSchool,26 to 30,,48.0,Level-161,1.0
4.066667,3.431034,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,72.0,31.0,Level-170,1.0
3.72,2.761905,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,19 to 20,,26.0,Level-170,1.0
0.84,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,74.0,,Level-160,1.0
4.065217,3.461538,Other,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,0 to 18,,40.0,Level-141,1.0
0.0,,English,GPOG_FT,6.0,No,No,Domestic,Male,0,19 to 20,42.0,9.0,Level-160,0.0
2.673913,3.138889,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,42.0,Level-171,1.0
1.230769,3.0,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,74.0,37.0,Level-170,0.0
2.340909,2.136364,French,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,87.0,,,1.0
3.52381,3.404762,Other,Second Career Program,6.0,No,No,Domestic,Male,0,41 to 50,,,Level-141,1.0
0.0,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,68.0,28.0,Level-130,0.0
3.3,2.727273,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,,33.0,Level-160,1.0
3.1,2.47619,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,78.0,19.0,Level-160,1.0
3.0,3.275,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,87.0,24.0,Level-170,1.0
3.934783,3.590909,,Intl Regular,6.0,No,No,International,Male,HighSchool,21 to 25,,48.0,Level-161,1.0
,,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,21 to 25,93.0,30.0,Level-170,0.0
4.083333,4.277778,Other,Intl Regular,6.0,Yes,Yes,International,Male,PostSecondary,21 to 25,,,Level-170,0.0
1.809524,1.954545,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,41 to 50,,18.0,Level-170,1.0
0.944444,0.0,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,21 to 25,,,Level-161,0.0
3.175,2.952381,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-170,1.0
0.0,,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,66.0,22.0,Level-170,0.0
2.227273,2.590909,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,21 to 25,,29.0,Level-170,1.0
2.425,2.767857,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-141,1.0
4.166667,3.978261,English,GPOG_FT,6.0,Yes,Yes,Domestic,Female,PostSecondary,26 to 30,97.0,,Level-170,0.0
2.92,1.777778,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,26 to 30,,31.0,Level-170,0.0
3.020833,2.130435,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,21 to 25,,34.0,Level-161,1.0
2.409091,2.826087,English,GPOG_FT,6.0,No,Yes,Domestic,Female,PostSecondary,21 to 25,73.0,27.0,Level-141,1.0
3.35,4.5,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,21 to 25,71.0,21.0,Level-170,0.0
0.795455,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,74.0,23.0,Level-160,0.0
3.23913,3.25,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,19 to 20,,46.0,Level-170,1.0
3.108696,2.6,English,GPOG_FT,6.0,Yes,No,Domestic,Male,PostSecondary,41 to 50,,,,1.0
4.285714,4.16,,Intl Regular,6.0,No,No,International,Male,HighSchool,0 to 18,,50.0,Level-161,1.0
4.264706,4.166667,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,101.0,,Level-170,1.0
2.104167,2.958333,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,75.0,48.0,Level-161,1.0
3.565217,1.86,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,21 to 25,,,Level-171,1.0
2.090909,1.53125,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,21 to 25,61.0,19.0,Level-141,1.0
0.0,,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,19 to 20,77.0,18.0,Level-170,0.0
2.045455,,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,0 to 18,86.0,28.0,Level-170,0.0
4.166667,4.413043,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,36 to 40,,,Level-170,0.0
2.047619,2.368421,English,GPOG_FT,6.0,No,No,Domestic,Female,0,21 to 25,,29.0,Level-170,1.0
3.130435,2.480769,English,Apprentice_PS,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,79.0,28.0,Level-170,1.0
2.525,3.388889,,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,42.0,Level-141,1.0
,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,26 to 30,,20.0,Level-160,0.0
2.227273,1.394737,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,78.0,,,0.0
3.325,3.375,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,36 to 40,,29.0,Level-160,1.0
3.854167,3.791667,Other,GPOG_FT,6.0,No,Yes,Domestic,Male,0,21 to 25,92.0,48.0,Level-141,1.0
2.44,2.788462,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,21 to 25,,,Level-161,1.0
3.263158,2.565217,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,85.0,,Level-161,1.0
3.217391,3.272727,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,19 to 20,73.0,27.0,Level-170,1.0
2.47619,1.681818,English,GPOG_FT,6.0,No,No,Domestic,Male,0,26 to 30,57.0,29.0,Level-141,1.0
4.0,3.884615,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,96.0,45.0,Level-170,1.0
4.309524,4.142857,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,93.0,,Level-170,1.0
3.833333,3.28,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,41 to 50,,46.0,Level-161,1.0
4.0,4.083333,English,GPOG_FT,6.0,Yes,Yes,Domestic,Male,PostSecondary,21 to 25,95.0,,Level-170,0.0
2.545455,1.025,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,69.0,,Level-161,0.0
1.54,0.3,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,62.0,26.0,Level-170,1.0
4.113636,3.895833,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-171,1.0
4.021739,4.315789,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,95.0,30.0,Level-170,1.0
2.928571,3.125,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,87.0,37.0,Level-170,1.0
3.1,3.295455,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,26 to 30,,,Level-160,1.0
2.071429,,Other,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,19 to 20,74.0,21.0,Level-161,0.0
4.065217,3.952381,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,21 to 25,,47.0,Level-141,1.0
3.88,3.788462,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
2.804348,3.25,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,80.0,21.0,Level-161,1.0
3.0625,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,19 to 20,80.0,34.0,Level-170,0.0
2.475,1.586957,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,71.0,33.0,Level-170,1.0
3.94,3.148148,Other,Intl Regular,6.0,Yes,Yes,International,Male,PostSecondary,21 to 25,,,Level-171,1.0
2.44,1.636364,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-161,1.0
2.166667,2.033333,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,21 to 25,,,Level-170,1.0
4.357143,4.409091,English,Second Career Program,6.0,No,No,Domestic,Male,0,31 to 35,,34.0,Level-170,1.0
4.111111,3.5,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,26 to 30,80.0,47.0,Level-171,1.0
